Frames,CPU_freq,CPU_cores_percent,memory,cache_miss,instructions,cycles,temperature,swap,core_demands,RAM_demands,cpi,time
40,3200,1.6,90,13010036,1739556846,1348174173,27.8,0,1.4,90,0.775010127,6.532343258
40,3600,0.2,70,13596330,1742666922,1388651325,27.8,37788,1.4,90,0.796854125,16.23758737
40,3600,0.2,75,13330874,1742800591,1379488169,27.8,31500,1.4,90,0.791535289,15.4422671
40,3600,0.2,80,14065404,1744380541,1387170159,27.8,24696,1.4,90,0.795222216,15.68361499
40,3600,0.2,85,13347525,1744811036,1380580165,27.8,6988,1.4,90,0.791249102,15.66592958
40,3600,0.2,90,13952588,1742454934,1385003312,27.8,0,1.4,90,0.794857465,14.32564239
40,3600,0.4,70,13273590,1743166870,1373215570,27.8,35224,1.4,90,0.787770576,10.18143564
40,3600,0.4,75,12949854,1740315206,1357885871,27.8,29196,1.4,90,0.780252834,9.845782803
40,3600,0.4,80,12707500,1740222176,1366890866,27.8,11020,1.4,90,0.785469169,9.959522741
40,3600,0.4,85,13080236,1740824053,1367987067,27.8,14416,1.4,90,0.785827301,9.629363673
40,3600,0.4,90,12900540,1742056057,1367228147,27.8,0,1.4,90,0.784835908,9.16612439
40,3600,0.6,70,12468890,1739349179,1364879487,27.8,41664,1.4,90,0.784707006,8.821224682
40,3600,0.6,75,12905211,1740353620,1360736095,27.8,28320,1.4,90,0.781873338,8.385971286
40,3600,0.6,80,12832526,1742871817,1358893325,27.8,26368,1.4,90,0.779686327,8.291153922
40,3600,0.6,85,12868746,1740868423,1367512853,27.8,5644,1.4,90,0.785534872,8.531615573
40,3600,0.6,90,12875716,1742642186,1372995928,27.8,0,1.4,90,0.787881723,7.625307982
40,3600,0.8,70,12853102,1740697535,1365271174,27.8,38156,1.4,90,0.784324184,7.591779566
40,3600,0.8,75,12806781,1741238106,1363465609,27.8,27776,1.4,90,0.783043746,8.250302718
40,3600,0.8,80,12851934,1740513676,1359507402,27.8,21516,1.4,90,0.781095501,8.167404148
40,3600,0.8,85,12631413,1739903246,1362740716,27.8,25976,1.4,90,0.783227872,7.317023553
40,3600,0.8,90,12586865,1741476750,1360227509,27.8,0,1.4,90,0.781077042,6.930409922
40,3600,1,70,12825894,1750247133,1365550852,27.8,40192,1.4,90,0.780204593,8.288210755
40,3600,1,75,12820553,1741385791,1362555704,27.8,17744,1.4,90,0.782454819,7.38165923
40,3600,1,80,12767728,1742792595,1362830213,27.8,25612,1.4,90,0.781980723,7.557004279
